"entry","protein_families"
"Q96RI8","G-protein coupled receptor 1 family"
"Q96RJ0","G-protein coupled receptor 1 family"
"Q96RK4","BBS4 family"
"Q96RL1","RAP80 family"
"Q96RL6","Immunoglobulin superfamily, SIGLEC (sialic acid binding Ig-like lectin) family"
"Q96RL7","VPS13 family"
"Q96RN1","SLC26A/SulP transporter (TC 2.A.53) family"
"Q96RN5","Mediator complex subunit 15 family"
"Q96RP3","Sauvagine/corticotropin-releasing factor/urotensin I family"
"Q96RP7","Galactose-3-O-sulfotransferase family"
"Q96RP9","TRAFAC class translation factor GTPase superfamily, Classic translation factor GTPase family, EF-G/EF-2 subfamily"
"Q96RQ1","ERGIC family"
"Q96RQ9","Flavin monoamine oxidase family, FIG1 subfamily"
"Q96RR4","Protein kinase superfamily, Ser/Thr protein kinase family"
"Q96RS0","Methyltransferase superfamily, Trimethylguanosine synthase family"
"Q96RT1","LAP (LRR and PDZ) protein family"
"Q96RT7","TUBGCP family"
"Q96RT8","TUBGCP family"
"Q96RU2","Peptidase C19 family, USP28 subfamily"
"Q96RU3","FNBP1 family"
"Q96RU7","Protein kinase superfamily, CAMK Ser/Thr protein kinase family, Tribbles subfamily"
"Q96RU8","Protein kinase superfamily, CAMK Ser/Thr protein kinase family, Tribbles subfamily"
"Q96S06","Lipase maturation factor family"
"Q96S15","WD repeat WDR24 family"
"Q96S21","Small GTPase superfamily, Rab family"
"Q96S37","Major facilitator (TC 2.A.1) superfamily, Organic cation transporter (TC 2.A.1.19) family"
"Q96S38","Protein kinase superfamily, Ser/Thr protein kinase family, S6 kinase subfamily"
"Q96S42","TGF-beta family"
"Q96S44","Protein kinase superfamily, BUD32 family"
"Q96S52","PIGS family"
"Q96S53","Protein kinase superfamily, TKL Ser/Thr protein kinase family"
"Q96S55","AAA ATPase family, RarA/MGS1/WRNIP1 subfamily"
"Q96S59","RANBP9/10 family"
"Q96S65","AXUD1 family"
"Q96S66","Chloride channel MCLC family"
"Q96S94","Cyclin family, Cyclin L subfamily"
"Q96S97","MAL family"
"Q96SA4","TDE1 family"
"Q96SB4","Protein kinase superfamily, CMGC Ser/Thr protein kinase family"
"Q96SB8","SMC family, SMC6 subfamily"
"Q96SD1","DNA repair metallo-beta-lactamase (DRMBL) family"
"Q96SL1","Major facilitator superfamily"
"Q96SL4","Glutathione peroxidase family"
"Q96SN7","Orai family"
"Q96SQ5","Krueppel C2H2-type zinc-finger protein family"
"Q96SQ9","Cytochrome P450 family"
"Q96ST2","IWS1 family"
"Q96SU4","OSBP family"
"Q96SW2","CRBN family"
"Q96SY0","Integrator subunit 14 family"
"Q96SZ6","Methylthiotransferase family, MiaB subfamily"
"Q96T17","MAP7 family"
"Q96T37","RRM Spen family"
"Q96T52","Peptidase S26 family, IMP2 subfamily"
"Q96T53","Membrane-bound acyltransferase family"
"Q96T54","Two pore domain potassium channel (TC 1.A.1.8) family"
"Q96T55","Two pore domain potassium channel (TC 1.A.1.8) family"
"Q96T58","RRM Spen family"
"Q96T60","DNA 3' phosphatase family"
"Q96T66","Eukaryotic NMN adenylyltransferase family"
"Q96T68","Class V-like SAM-binding methyltransferase superfamily"
"Q96T76","MET18/MMS19 family"
"Q96T83","Monovalent cation:proton antiporter 1 (CPA1) transporter (TC 2.A.36) family"
"Q96T91","Glycoprotein hormones subunit alpha family"
"Q96TA1","Niban family"
"Q96TA2","AAA ATPase family"
"Q96TA2"," Peptidase M41 family"
"Q96TC7","RMDN family"
"Q99062","Type I cytokine receptor family, Type 2 subfamily"
"Q99217","Amelogenin family"
"Q99250","Sodium channel (TC 1.A.1.10) family, Nav1.2/SCN2A subfamily"
"Q99259","Group II decarboxylase family"
"Q99417","AMY1 family"
"Q99424","Acyl-CoA oxidase family"
"Q99426","TBCB family"
"Q99436","Peptidase T1B family"
"Q99437","V-ATPase proteolipid subunit family"
"Q99439","Calponin family"
"Q99447","Cytidylyltransferase family"
"Q99453","Paired homeobox family"
"Q99456","Intermediate filament family"
"Q99459","CEF1 family"
"Q99460","Proteasome subunit S1 family"
"Q99466","NOTCH family"
"Q99467","Toll-like receptor family"
"Q99471","Prefoldin subunit alpha family"
"Q99487","Serine esterase family"
"Q99489","DAMOX/DASOX family"
"Q99490","Centaurin gamma-like family"
"Q99497","Peptidase C56 family"
"Q99500","G-protein coupled receptor 1 family"
"Q99501","GAS2 family"
"Q99502","HAD-like hydrolase superfamily, EYA family"
"Q99504","HAD-like hydrolase superfamily, EYA family"
"Q99518","FMO family"
"Q99519","Glycosyl hydrolase 33 family"
"Q99523","VPS10-related sortilin family, SORT1 subfamily"
"Q99527","G-protein coupled receptor 1 family"
"Q99536","Zinc-containing alcohol dehydrogenase family, Quinone oxidoreductase subfamily"
"Q99538","Peptidase C13 family"
"Q99541","Perilipin family"
"Q99542","Peptidase M10A family"
"Q99547","MPP6 family"
"Q99551","MTERF family"
"Q99558","Protein kinase superfamily, STE Ser/Thr protein kinase family, MAP kinase kinase kinase subfamily"
"Q99569","Beta-catenin family"
"Q99570","Protein kinase superfamily, Ser/Thr protein kinase family"
"Q99571","P2X receptor family"
"Q99572","P2X receptor family"
"Q99574","Serpin family"
"Q99576","TSC-22/Dip/Bun family"
"Q99578","Small GTPase superfamily, Ras family"
"Q99581","ETS family"
"Q99584","S-100 family"
"Q99592","Krueppel C2H2-type zinc-finger protein family, ZBTB18 subfamily"
"Q99595","Tim17/Tim22/Tim23 family"
"Q99598","Translin family"
"Q99607","ETS family"
"Q99611","Selenophosphate synthase 1 family, Class I subfamily"
"Q99612","Krueppel C2H2-type zinc-finger protein family"
"Q99613","EIF-3 subunit C family"
"Q99616","Intercrine beta (chemokine CC) family"
"Q99619","SPSB family"
"Q99622","UPF0456 family"
"Q99623","Prohibitin family"
"Q99624","Amino acid/polyamine transporter 2 family"
"Q99626","Caudal homeobox family"
"Q99627","CSN8 family"
"Q99633","PRP18 family"
"Q99638","Rad9 family"
"Q99640","Protein kinase superfamily, Ser/Thr protein kinase family, WEE1 subfamily"
"Q99643","Cytochrome b560 family"
"Q99645","Small leucine-rich proteoglycan (SLRP) family, SLRP class III subfamily"
"Q99650","Type I cytokine receptor family, Type 2 subfamily"
"Q99653","Calcineurin regulatory subunit family, CHP subfamily"
"Q99661","TRAFAC class myosin-kinesin ATPase superfamily, Kinesin family, MCAK/KIF2 subfamily"
"Q99665","Type I cytokine receptor family, Type 2 subfamily"
"Q99677","G-protein coupled receptor 1 family"
"Q99683","Protein kinase superfamily, STE Ser/Thr protein kinase family, MAP kinase kinase kinase subfamily"
"Q99685","AB hydrolase superfamily, Monoacylglycerol lipase family"
"Q99687","TALE/MEIS homeobox family"
"Q99689","Zygin family"
"Q99697","Paired homeobox family, Bicoid subfamily"
"Q99700","Ataxin-2 family"
"Q99704","DOK family, Type A subfamily"
"Q99705","G-protein coupled receptor 1 family"
"Q99706","Immunoglobulin superfamily"
"Q99707","Vitamin-B12 dependent methionine synthase family"
"Q99708","COM1/SAE2/CtIP family"
"Q99712","Inward rectifier-type potassium channel (TC 1.A.2.1) family, KCNJ15 subfamily"
"Q99714","Short-chain dehydrogenases/reductases (SDR) family"
"Q99715","Fibril-associated collagens with interrupted helices (FACIT) family"
"Q99717","Dwarfin/SMAD family"
"Q99719","TRAFAC class TrmE-Era-EngA-EngB-Septin-like GTPase superfamily, Septin GTPase family"
"Q99720","ERG2 family"
"Q99726","Cation diffusion facilitator (CDF) transporter (TC 2.A.4) family, SLC30A subfamily"
"Q99731","Intercrine beta (chemokine CC) family"
"Q99732","CDIP1/LITAF family"
"Q99733","Nucleosome assembly protein (NAP) family"
"Q99735","MAPEG family"
"Q99741","CDC6/cdc18 family"
"Q99747","SNAP family"
"Q99748","TGF-beta family, GDNF subfamily"
"Q99750","MDFI family"
"Q99757","Thioredoxin family"
"Q99758","ABC transporter superfamily, ABCA family"
"Q99759","Protein kinase superfamily, STE Ser/Thr protein kinase family, MAP kinase kinase kinase subfamily"
"Q99766","ATP synthase subunit s family"
"Q99788","Chemokine-like receptor (CMKLR) family"
"Q99797","Peptidase M3 family"
"Q99798","Aconitase/IPM isomerase family"
"Q99801","NK-3 homeobox family"
"Q99807","COQ7 family"
"Q99808","SLC29A/ENT transporter (TC 2.A.57) family"
"Q99816","Ubiquitin-conjugating enzyme family, UEV subfamily"
"Q99829","Copine family"
"Q99832","TCP-1 chaperonin family"
"Q99835","G-protein coupled receptor Fz/Smo family"
"Q99848","EBP2 family"
"Q99871","HAUS7 family"
"Q99873","Class I-like SAM-binding methyltransferase superfamily, Protein arginine N-methyltransferase family"
"Q99877","Histone H2B family"
"Q99878","Histone H2A family"
"Q99879","Histone H2B family"
"Q99880","Histone H2B family"
"Q99884","Sodium:neurotransmitter symporter (SNF) (TC 2.A.22) family, SLC6A7 subfamily"
"Q99895","Peptidase S1 family, Elastase subfamily"
"Q99909","SSX family"
"Q99928","Ligand-gated ion channel (TC 1.A.9) family, Gamma-aminobutyric acid receptor (TC 1.A.9.5) subfamily, GABRG3 sub-subfamily"
"Q99932","SPAG8 family"
"Q99935","PROL1/PROL3 family"
"Q99941","BZIP family, ATF subfamily"
"Q99942","RNF5 family"
"Q99943","1-acyl-sn-glycerol-3-phosphate acyltransferase family"
"Q99946","CD225/Dispanin family"
"Q99952","Protein-tyrosine phosphatase family, Non-receptor class 4 subfamily"
"Q99956","Protein-tyrosine phosphatase family, Non-receptor class dual specificity subfamily"
"Q99959","Beta-catenin family"
"Q99961","Endophilin family"
"Q99962","Endophilin family"
"Q99963","Endophilin family"
"Q99966","CITED family"
"Q99967","CITED family"
"Q99983","Small leucine-rich proteoglycan (SLRP) family, SLRP class II subfamily"
"Q99985","Semaphorin family"
"Q99986","Protein kinase superfamily, CK1 Ser/Thr protein kinase family, VRK subfamily"
"Q99988","TGF-beta family"
"Q99990","Vestigial family"
"Q99999","Galactose-3-O-sulfotransferase family"
"Q9BPU6","Metallo-dependent hydrolases superfamily, Hydantoinase/dihydropyrimidinase family"
"Q9BPU9","B9D family"
"Q9BPV8","G-protein coupled receptor 1 family"
"Q9BPW8","NipSnap family"
"Q9BPW9","Short-chain dehydrogenases/reductases (SDR) family"
"Q9BPX1","Short-chain dehydrogenases/reductases (SDR) family"
"Q9BPX3","CND3 (condensin subunit 3) family"
"Q9BPX6","MICU1 family, MICU1 subfamily"
"Q9BPZ2","SPIN/STSY family"
"Q9BPZ3","PAIP2 family"
"Q9BPZ7","SIN1 family"
"Q9BQ15","SOSS-B family, SOSS-B1 subfamily"
"Q9BQ31","Potassium channel family, S (TC 1.A.1.2) subfamily, Kv9.3/KCNS3 sub-subfamily"
"Q9BQ39","DEAD box helicase family, DDX21/DDX50 subfamily"
"Q9BQ50","Exonuclease superfamily, TREX family"
"Q9BQ51","Immunoglobulin superfamily, BTN/MOG family"
"Q9BQ52","RNase Z family"
"Q9BQ65","2H phosphoesterase superfamily, USB1 family"
"Q9BQ66","KRTAP type 4 family"
"Q9BQ69","MacroD-type family, MacroD1/2-like subfamily"
"Q9BQ70","TCF25 family"
"Q9BQ83","SLX1 family"
"Q9BQ87","WD repeat EBI family"
"Q9BQ89","FAM110 family"
"Q9BQ95","ECSIT family"
"Q9BQA9","CYBC1 family"
"Q9BQB4","Sclerostin family"
"Q9BQB6","VKOR family"
"Q9BQC3","DPH1/DPH2 family, DPH2 subfamily"
"Q9BQD3","KXD1 family"
"Q9BQD7","ANT/ATPSC lysine N-methyltransferase family"
"Q9BQE3","Tubulin family"
"Q9BQE4","Selenoprotein S family"
"Q9BQE5","Apolipoprotein L family"
"Q9BQE9","BCL7 family"
"Q9BQF6","Peptidase C48 family"
"Q9BQG0","MYBBP1A family"
"Q9BQG1","Synaptotagmin family"
"Q9BQG2","Nudix hydrolase family, NudC subfamily"
"Q9BQI3","Protein kinase superfamily, Ser/Thr protein kinase family, GCN2 subfamily"
"Q9BQJ4","TMEM47 family"
"Q9BQK8","Lipin family"
"Q9BQL6","Kindlin family"
"Q9BQP7","MGME1 family"
"Q9BQQ3","GORASP family"
"Q9BQS2","Synaptotagmin family"
"Q9BQS7","Multicopper oxidase family"
"Q9BQT8","Mitochondrial carrier (TC 2.A.29) family"
"Q9BQT9","Calsyntenin family"
"Q9BQW3","COE family"
"Q9BQY4","Paired-like homeobox family, PEPP subfamily"
"Q9BQY9","Dysbindin family"
"Q9BR01","Sulfotransferase 1 family"
"Q9BR39","Junctophilin family"
"Q9BR76","WD repeat coronin family"
"Q9BRA0","SnRNP Sm proteins family"
"Q9BRA2","Thioredoxin family"
"Q9BRB3","PIGQ family"
"Q9BRD0","CWC26 family"
"Q9BRF8","Metallophosphoesterase superfamily, CPPED1 family"
"Q9BRG1","VPS25 family"
"Q9BRI3","Cation diffusion facilitator (CDF) transporter (TC 2.A.4) family, SLC30A subfamily"
"Q9BRJ2","Mitochondrion-specific ribosomal protein mL45 family"
"Q9BRJ7","Nudix hydrolase family, TIRR subfamily"
"Q9BRK0","DP1 family"
"Q9BRK4","LZTS2 family"
"Q9BRK5","CREC family"
"Q9BRL6","Splicing factor SR family"
"Q9BRL7","Synaptobrevin family"
"Q9BRP0","Krueppel C2H2-type zinc-finger protein family"
"Q9BRP4","WD repeat PAAF1/RPN14 family"
"Q9BRP8","Pym family"
"Q9BRQ3","Nudix hydrolase family"
"Q9BRQ5","Orai family"
"Q9BRQ6","MICOS complex subunit Mic19 family, Metazoan Mic25 subfamily"
"Q9BRQ8","FAD-dependent oxidoreductase family"
"Q9BRR0","Krueppel C2H2-type zinc-finger protein family"
"Q9BRR3","PGAP4 family"
"Q9BRR6","ADP-dependent glucokinase family"
"Q9BRS2","Protein kinase superfamily, RIO-type Ser/Thr kinase family"
"Q9BRT3","SelWTH family"
"Q9BRT8","SIMIBI class G3E GTPase family, ZNG1 subfamily"
"Q9BRT9","GINS4/SLD5 family"
"Q9BRU9","UTP23/FCF1 family, UTP23 subfamily"
"Q9BRV3","SWEET sugar transporter family"
"Q9BRV8","SIKE family"
"Q9BRX2","Eukaryotic release factor 1 family, Pelota subfamily"
"Q9BRX5","GINS3/PSF3 family"
"Q9BRX8","Peroxiredoxin-like PRXL2 family, PRXL2A subfamily"
"Q9BRX9","WD repeat MORG1 family"
"Q9BRZ2","TRIM/RBCC family"
"Q9BS16","CENP-K/MCM22 family"
"Q9BS18","APC13 family"
"Q9BS31","Krueppel C2H2-type zinc-finger protein family"
"Q9BS34","Krueppel C2H2-type zinc-finger protein family"
"Q9BS40","Protease inhibitor I47 (latexin) family"
"Q9BS86","Zona pellucida-binding protein Sp38 family"
"Q9BS91","Nucleotide-sugar transporter family, SLC35A subfamily"
"Q9BSA4","Tweety family"
"Q9BSA9","TMEM175 family"
"Q9BSB4","ATG101 family"
"Q9BSD7","THEP1 NTPase family"
"Q9BSE5","Ureohydrolase superfamily, Arginase family"
"Q9BSF0","Small membrane AKAP family"
"Q9BSG1","Krueppel C2H2-type zinc-finger protein family"
"Q9BSH4","TACO1 family"
"Q9BSH5","HAD-like hydrolase superfamily"
"Q9BSJ2","TUBGCP family"
"Q9BSJ8","Extended synaptotagmin family"
"Q9BSK2","Mitochondrial carrier (TC 2.A.29) family"
"Q9BSK4","Fem-1 family"
"Q9BSQ5","CCM2 family"
"Q9BSR8","YIP1 family"
"Q9BSU1","PHAF1 family"
"Q9BSU3","Acetyltransferase family, ARD1 subfamily"
"Q9BSV6","TRNA-intron endonuclease family"
"Q9BSW2","EFCAB4 family"
"Q9BSW7","Synaptotagmin family"
"Q9BSY9","DeSI family"
"Q9BT04","Fuzzy family"
"Q9BT09","Canopy family"
"Q9BT17","TRAFAC class YlqF/YawG GTPase family, MTG1 subfamily"
"Q9BT22","Glycosyltransferase group 1 family, Glycosyltransferase 33 subfamily"
"Q9BT25","HAUS8 family"
"Q9BT30","AlkB family"
"Q9BT40","Inositol 1,4,5-trisphosphate 5-phosphatase type II family"
"Q9BT43","Eukaryotic RPC7 RNA polymerase subunit family"
"Q9BT56","Spexin family"
"Q9BT78","CSN4 family"
"Q9BT88","Synaptotagmin family"
"Q9BT92","TCHP family"
"Q9BTC8","Metastasis-associated protein family"
"Q9BTD3","TMEM121 family"
"Q9BTD8","RRM RBM42 family"
"Q9BTE1","Dynactin subunits 5/6 family, Dynactin subunit 5 subfamily"
"Q9BTE3","MCMBP family"
"Q9BTE6","Class-II aminoacyl-tRNA synthetase family, Alax-L subfamily"
"Q9BTF0","Methyltransferase superfamily"
"Q9BTL3","RAM family"
"Q9BTL4","IER family"
"Q9BTM9","URM1 family"
"Q9BTN0","LRFN family"
"Q9BTT0","ANP32 family"
"Q9BTT4","Mediator complex subunit 10 family"
"Q9BTU6","PI3/PI4-kinase family, Type II PI4K subfamily"
"Q9BTV4","TMEM43 family"
"Q9BTW9","TBCD family"
"Q9BTX1","NDC1 family"
"Q9BTX3","TMEM208 family"
"Q9BTY2","Glycosyl hydrolase 29 family"
"Q9BTZ2","Short-chain dehydrogenases/reductases (SDR) family"
"Q9BU02","ThTPase family"
"Q9BU19","Krueppel C2H2-type zinc-finger protein family"
"Q9BU20","Small GTPase superfamily, Rab family"
"Q9BU61","NDUFAF3 family"
"Q9BU64","CENP-O/MCM21 family"
"Q9BU79","TMEM243 family"
"Q9BU89","Deoxyhypusine hydroxylase family"
"Q9BUB4","ADAT1 family"
"Q9BUB5","Protein kinase superfamily, CAMK Ser/Thr protein kinase family"
"Q9BUB7","TMEM70 family"
"Q9BUE0","Mediator complex subunit 18 family"
"Q9BUE6","HesB/IscA family"
"Q9BUF5","Tubulin family"
"Q9BUH6","XRCC4-XLF family, PAXX subfamily"
"Q9BUI4","Eukaryotic RPC3/POLR3C RNA polymerase subunit family"
"Q9BUK6","Misato family"
"Q9BUL5","PHF23 family"
"Q9BUL8","PDCD10 family"
"Q9BUL9","Histone-like Alba family"
"Q9BUM1","Glucose-6-phosphatase family"
"Q9BUN8","Derlin family"
"Q9BUQ8","DEAD box helicase family, DDX23/PRP28 subfamily"
"Q9BUR4","TCAB1 family"
"Q9BUR5","Apolipoprotein O/MICOS complex subunit Mic27 family"
"Q9BUT1","Short-chain dehydrogenases/reductases (SDR) family"
"Q9BUU2","Methyltransferase superfamily, METTL22 family"
"Q9BUV0","RSRP family"
"Q9BUV8","EMC6 family"
"Q9BUW7","UPF0184 (EST00098) family"
"Q9BUX1","Gamma-glutamylcyclotransferase family, ChaC subfamily"
"Q9BUZ4","TNF receptor-associated factor family, B subfamily"
"Q9BV10","Glycosyltransferase 22 family"
"Q9BV20","EIF-2B alpha/beta/delta subunits family, MtnA subfamily"
"Q9BV23","AB hydrolase superfamily"
"Q9BV35","Mitochondrial carrier (TC 2.A.29) family"
"Q9BV38","WD repeat IPI3/WDR18 family"
"Q9BV40","Synaptobrevin family"
"Q9BV44","Methyltransferase superfamily"
"Q9BV47","Protein-tyrosine phosphatase family, Non-receptor class dual specificity subfamily"
"Q9BV57","Acireductone dioxygenase (ARD) family"
"Q9BV79","Zinc-containing alcohol dehydrogenase family, Quinone oxidoreductase subfamily"
"Q9BV81","EMC6 family"
"Q9BV86","Methyltransferase superfamily, NTM1 family"
"Q9BV94","Glycosyl hydrolase 47 family"
"Q9BVA0","WD repeat KATNB1 family"
"Q9BVA1","Tubulin family"
"Q9BVA6","Fic family"
"Q9BVC3","DCC1 family"
"Q9BVC4","WD repeat LST8 family"
"Q9BVG3","TRIM/RBCC family"
"Q9BVG8","TRAFAC class myosin-kinesin ATPase superfamily, Kinesin family"
"Q9BVG9","Phosphatidyl serine synthase family"
"Q9BVH7","Glycosyltransferase 29 family"
"Q9BVI4","CBF/MAK21 family"
"Q9BVJ6","UTP14 family"
"Q9BVJ7","Protein-tyrosine phosphatase family, Non-receptor class dual specificity subfamily"
"Q9BVK2","ALG6/ALG8 glucosyltransferase family"
"Q9BVK6","EMP24/GP25L family"
"Q9BVK8","TMEM147 family"
"Q9BVL2","NUP58 family"
"Q9BVL4","SELO family"
"Q9BVM4","Gamma-glutamylcyclotransferase family"
"Q9BVP2","TRAFAC class YlqF/YawG GTPase family"
"Q9BVQ7","AAA ATPase family, AFG2 subfamily"
"Q9BVS4","Protein kinase superfamily, RIO-type Ser/Thr kinase family"
"Q9BVS5","Class I-like SAM-binding methyltransferase superfamily, TRM61 family"
"Q9BVV6","TALPID3 family"
"Q9BVV7","TIM21 family"
"Q9BVW5","CSM3 family"
"Q9BVX2","TMEM106 family"
"Q9BW04","SARG family"
"Q9BW19","TRAFAC class myosin-kinesin ATPase superfamily, Kinesin family, NCD subfamily"
"Q9BW27","Nucleoporin Nup85 family"
"Q9BW60","ELO family, ELOVL1 subfamily"
"Q9BW61","DDA1 family"
"Q9BW62","AAA ATPase family, Katanin p60 subunit A1 subfamily, A-like 1 sub-subfamily"
"Q9BW66","CINP family"
"Q9BW83","Small GTPase superfamily, Rab family"
"Q9BW85","CWC16 family, YJU2 subfamily"
"Q9BW91","Nudix hydrolase family, NudF subfamily"
"Q9BW92","Class-II aminoacyl-tRNA synthetase family"
"Q9BWD1","Thiolase-like superfamily, Thiolase family"
"Q9BWF2","TRAIP family"
"Q9BWH2","FUN14 family"
"Q9BWH6","RPAP1 family"
"Q9BWJ5","SF3B5 family"
"Q9BWM7","Sideroflexin family"
"Q9BWP8","COLEC10/COLEC11 family"
"Q9BWQ6","YIP1 family"
"Q9BWQ8","BI1 family, LFG subfamily"
"Q9BWS9","Glycosyl hydrolase 18 family"
"Q9BWT3","Poly(A) polymerase family"
"Q9BWU1","Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily"
"Q9BWV3","Cytidine and deoxycytidylate deaminase family"
"Q9BWV7","Tubulin--tyrosine ligase family"
"Q9BWW7","Snail C2H2-type zinc-finger protein family"
"Q9BX10","TRAFAC class translation factor GTPase superfamily, Classic translation factor GTPase family, GTPBP1 subfamily"
"Q9BX26","SYCP2 family"
"Q9BX40","LSM14 family"
"Q9BX63","DEAD box helicase family, DEAH subfamily"
"Q9BX67","Immunoglobulin superfamily"
"Q9BX68","HINT family"
"Q9BX74","TM2 family"
"Q9BX84","Protein kinase superfamily, Alpha-type protein kinase family, ALPK subfamily"
"Q9BX84"," Transient receptor (TC 1.A.4) family, LTrpC subfamily, TRPM6 sub-subfamily"
"Q9BX95","Type 2 lipid phosphate phosphatase family"
"Q9BXA5","G-protein coupled receptor 1 family"
"Q9BXA6","Protein kinase superfamily, CAMK Ser/Thr protein kinase family"
"Q9BXA7","Protein kinase superfamily, CAMK Ser/Thr protein kinase family"
"Q9BXB1","G-protein coupled receptor 1 family"
